"tarifit","nl","en","cefr_oud","woordsoort","cefr_nieuw","thema","zekerheid","tags_nieuw"
"a / wa / waḏ","Deze","This","A1","vnw_aanw","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::vnw_aanw tarifit::thema::gram"
"a d-yạạggweḥ","naar huis gaan","go home","B2","znw_m_ev","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::doen"
"aabba / ssɣem","verheffen, optillen","to raise, to lift","B2","znw_m_ev","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::doen"
"aabu","op de rug dragen","carry on the back","B1","znw_m_ev","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::doen"
"aabɛin","veertig","forty","B2","znw_m_ev","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::get"
"aabɛtac","veertien","fourteen","B2","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"aaceř","schoppen","kick","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"aacṯi","het deeg","the dough","B2","znw_m_ev","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aafeɛ","optillen","lift","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"aageb","geïnformeerd zijn, verschijnen","be informed, appear","B2","znw_m_ev","B2","taal & school & communicatie","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::taal"
"aajij","rillen","shiver","B2","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"aan","meel","flour","B1","znw_m_ev","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aani","toevoegen","add","C2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"aaqqem","het sieraad","the jewelry","B2","znw_m_ev","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::kled"
"aas / arrima","landen, gaan liggen","land, lie down","B1","znw_m_ev","A2","vervoer & reizen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::verv"
"aawaḥ","kom! (alleen imperatief)","come! (imperative only)","B2","znw_m_ev","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::taal"
"aawes","gelijkaardig","similar","B2","znw_m_ev","B1","eigenschappen & kleuren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aawes / caba","lijken op","resemble","B1","znw_m_ev","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aaweř","terugtrekken, vluchten","to withdraw, to flee","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"aaxes","goedkoop","cheap","B2","znw_m_ev","A1","handel & geld","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::hdl"
"aaxu","losmaken","loosen","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"aay","verlichten, oplichten","illuminate, illuminate","B1","znw_m_ev","B1","overig","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::ov"
"aayaz","man, echtgenoot","husband, husband","A1","znw_m_ev","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"aayyeq / ṛefḏuṛ","Ontbijt","Breakfast","B2","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aaz","vernietigen","destroy","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"aazem","openen","open","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"aazu","zoeken","to search","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"aaz’","breken","break","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"aaɣ","heet, schijnen","to shine, to be called","B1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"aaḇiḇ","de stiefzoon","stepson","B2","znw_m_ev","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"aaḇɛa","vier","four","B2","znw_m_ev","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::get"
"aaḏeř","lenen, uitlenen","borrow, lend","B2","znw_m_ev","A2","handel & geld","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::hdl"
"aaḥeř","verhuizen","to move house","B2","ww","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::huis"
"abarraḥ","marktomroeper","market announcer","B2","znw_m_ev","B2","handel & geld","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::hdl"
"abeccun","de vagina","the vagina","B2","znw_m_ev","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"abettix","Meloen","Melon","B2","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"abuqaṛ","Emmer","Bucket","B2","znw_m_ev","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"abyas / ṯaḥezzant","riem","belt","B2","znw_m_ev","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::kled"
"aca","voelen","to feel","B1","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"acaa","stelen","to steal","B1","ww","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::sam"
"acarriḏ","de lijn","the line","B2","znw_m_ev","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::ov"
"aceddi","de knoop","the knot","B2","znw_m_ev","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::kled"
"aceffar","Dief","Thief","B2","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"acemmus","bundel, pakje","bundle, package","B2","znw_m_ev","B1","overig","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::ov"
"acemřař","wit","white","C1","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"acenquḇ","de snavel","the beak","B2","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"acessas n lḥebs","Gevangenisbewaarder","Prison guard","C2","znw_m_ev","B2","werk & beroep & ambacht","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"acewwaf","haar","her","B2","znw_m_ev","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aceḥřuf","het brandhout","the firewood","B2","znw_m_ev","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"acmaz","de jeuk","the itch","B2","znw_m_ev","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::gez"
"acniw","de tweeling","the twins","B2","znw_m_ev","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
