a / wa / waḏ,This,A1,vnw_aanw,tarifit::cefr::A1 tarifit::woordsoort::vnw_aanw
a d-yạạggweḥ,go home,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aabba / ssɣem,"to raise, to lift",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aabu,carry on the back,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aabɛin,forty,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aabɛtac,fourteen,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aaceř,kick,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aacṯi,the dough,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aafeɛ,lift,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aageb,"be informed, appear",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aajij,shiver,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aan,flour,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aani,add,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
aaqqem,the jewelry,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aas / arrima,"land, lie down",B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aawaḥ,come! (imperative only),B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aawes,similar,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aawes / caba,resemble,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aaweř,"to withdraw, to flee",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aaxes,cheap,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aaxu,loosen,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aay,"illuminate, illuminate",B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aayaz,"husband, husband",A1,znw_m_ev,tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev
aayyeq / ṛefḏuṛ,Breakfast,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aaz,destroy,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aazem,open,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aazu,to search,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aaz’,break,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aaɣ,"to shine, to be called",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aaḇiḇ,stepson,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aaḇɛa,four,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aaḏeř,"borrow, lend",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aaḥeř,to move house,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
abarraḥ,market announcer,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
