tarifit,nl,en,gloss,hoofdstuk,les,bron,tags
yessawar,hij spreekt,he speaks,,,glossen,boek p. 17,id:p17-01;context:glosses-and-abbreviations
tessawarent,jij spreekt,you speak,,,glossen,boek p. 17,id:p17-02;context:glosses-and-abbreviations
ssiwef,spreek!,speak!,,,glossen,boek p. 17,id:p17-03;context:glosses-and-abbreviations
iřes,tong,tongue,,2.2,02,boek p. 23,id:p23-01;context:vowels;hoofdstuk:auto;les:auto
ifess-a,deze tong,this tongue,,2.2,02,boek p. 23,id:p23-02;context:vowels;hoofdstuk:auto;les:auto
ifess inu,mijn tong,my tongue,,2.2,02,boek p. 23,id:p23-03;context:vowels;hoofdstuk:auto;les:auto
ssfehmey,ik deed begrijpen,I made understand,,2.2,02,boek p. 23,id:p23-04;context:vowels;hoofdstuk:auto;les:auto
ssfehmeyy-as,ik deed hem begrijpen,I made him understand,,2.2,02,boek p. 23,id:p23-05;context:vowels;hoofdstuk:auto;les:auto
yessefhem,hij legde uit,he explained,,2.2,02,boek p. 23,id:p23-06;context:vowels;hoofdstuk:auto;les:auto
yessfehm-as,hij legde het hem uit,he explained to him,,2.2,02,boek p. 23,id:p23-07;context:vowels;hoofdstuk:auto;les:auto
yessefhem ayyaw inu > yessfehm ayyaw inu,hij deed mijn kleinzoon begrijpen,he made my grandson understand,,2.2,02,boek p. 23,id:p23-08;context:vowels;hoofdstuk:auto;les:auto
yexs,hij wil,he wants,,2.2,02,boek p. 23,id:p23-09;context:vowels;hoofdstuk:auto;les:auto
semset,wikkel! (meervoud),wrap! (plural),,2.2,02,boek p. 23,id:p23-10;context:vowels;hoofdstuk:auto;les:auto
yeddaa,hij woont,he lives,,2.3,34,boek p. 24,id:p24-01;context:stops-and-spirantized-consonants;hoofdstuk:auto;les:auto
yendu,hij sprong,he jumped,,2.3,34,boek p. 24,id:p24-02;context:stops-and-spirantized-consonants;hoofdstuk:auto;les:auto
gewweḏ,leiden,to lead,,2.3,34,boek p. 24,id:p24-03;context:stops-and-spirantized-consonants;hoofdstuk:auto;les:auto
uyua,loop!,walk!,,2.3,34,boek p. 25,id:p25-01;context:stops-and-spirantized-consonants;hoofdstuk:auto;les:auto
nzum,wij vastten,we fasted,,2.3,34,boek p. 25,id:p25-02;context:pharyngealization;hoofdstuk:auto;les:auto
yegwa,het kookte,it cooked,,2.3,34,boek p. 26,id:p26-01;context:back-consonants;hoofdstuk:auto;les:auto
gwaman < n waman,van het water,of the water,,2.3,34,boek p. 26,id:p26-02;context:back-consonants;hoofdstuk:auto;les:auto
yeddakkwaf,hij gaat altijd terug,he always goes back,,2.3,34,boek p. 26,id:p26-03;context:labialized-consonants;hoofdstuk:auto;les:auto
yeqfa,hij bakte,he fried,,2.4,04,boek p. 26,id:p26-04;context:l-and-r;hoofdstuk:auto;les:auto
iqeǧa,hij bakt altijd,he always fries,,2.4,04,boek p. 26,id:p26-05;context:l-and-r;hoofdstuk:auto;les:auto
*yekker > yekkaa,hij stond op,he stood up,,2.5,04,boek p. 27,id:p27-01;context:r-and-rr;hoofdstuk:auto;les:auto
*yekka > yekka,hij ging voorbij,he passed,,2.5,04,boek p. 27,id:p27-02;context:r-and-rr;hoofdstuk:auto;les:auto
*yebda > yebda,hij verdeelde,he divided,,2.5,04,boek p. 27,id:p27-03;context:r-and-rr;hoofdstuk:auto;les:auto
ari,ga omhoog!,go up!,,2.5,04,boek p. 27,id:p27-04;context:r-and-rr;hoofdstuk:auto;les:auto
yezdeɣ,hij woont,he lives,,2.6,35,boek p. 27,id:p27-05;context:geminated-consonants;hoofdstuk:auto;les:auto
izeddeɣ,hij woont altijd,he always lives,,2.6,35,boek p. 27,id:p27-06;context:geminated-consonants;hoofdstuk:auto;les:auto
tessfehmedd-as,jij deed hem begrijpen,you made him understand,,2.6,35,boek p. 28,id:p28-01;context:geminated-consonants;hoofdstuk:auto;les:auto
yendu,hij sprong,he jumped,,2.6,35,boek p. 28,id:p28-02;context:geminated-consonants;hoofdstuk:auto;les:auto
inettu,hij springt altijd,he always jumps,,2.6,35,boek p. 28,id:p28-03;context:geminated-consonants;hoofdstuk:auto;les:auto
yedwer,hij werd,he became,,2.6,35,boek p. 28,id:p28-04;context:geminated-consonants;hoofdstuk:auto;les:auto
yeddakk^ar,hij wordt altijd,he always becomes,,2.6,35,boek p. 28,id:p28-05;context:geminated-consonants;hoofdstuk:auto;les:auto
yenɣa,hij doodde,he killed,,2.6,35,boek p. 28,id:p28-06;context:geminated-consonants;hoofdstuk:auto;les:auto
ineqq,hij doodt altijd,he always kills,,2.6,35,boek p. 28,id:p28-07;context:geminated-consonants;hoofdstuk:auto;les:auto
yemfes,hij trouwde,he married,,2.6,35,boek p. 28,id:p28-08;context:geminated-consonants;hoofdstuk:auto;les:auto
imedzes,hij trouwt altijd,he always marries,,2.6,35,boek p. 28,id:p28-09;context:geminated-consonants;hoofdstuk:auto;les:auto
weddqq,verloren zijn,to be lost,,2.6,35,boek p. 28,id:p28-10;context:geminated-consonants;hoofdstuk:auto;les:auto
yewzen,hij woog,he weighed,,2.7,02,boek p. 28,id:p28-11;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
yudef,hij kwam binnen,he came in,,2.7,02,boek p. 28,id:p28-12;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
yefhem,hij begreep,he understood,,2.7,02,boek p. 28,id:p28-13;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
ifehm-as,hij begreep hem,he understood him,,2.7,02,boek p. 28,id:p28-14;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
*yufey > yu n,hij ging omhoog,he went up,,2.7,02,boek p. 28,id:p28-15;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
ufyen,zij gingen omhoog,they went up,,2.7,02,boek p. 28,id:p28-16;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
*yendew > yendu,hij sprong,he jumped,,2.7,02,boek p. 28,id:p28-17;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
nedwen,zij sprongen,they jumped,,2.7,02,boek p. 28,id:p28-18;context:semivowels-and-high-vowels;hoofdstuk:auto;les:auto
zrixt (< *zriɣ-t),ik zag hem,I saw him,,2.8,34,boek p. 28,id:p28-19;context:lack-of-spirantization-in-word-final-consonant-clusters;hoofdstuk:auto;les:auto
yiwyast (< yiwy-as-t),hij bracht het naar hem,he brought it to him,,2.8,34,boek p. 28,id:p28-20;context:lack-of-spirantization-in-word-final-consonant-clusters;hoofdstuk:auto;les:auto
zrixt (< *zriɣ-t),ik zag hem,I saw him,,2.8,35,boek p. 29,id:p29-01;context:assimilations-with-t-and-t;hoofdstuk:auto;les:auto
t tamɣaat (< d tamɣaat),het is een vrouw,it is a woman,,2.8,35,boek p. 29,id:p29-02;context:assimilations-with-t-and-t;hoofdstuk:auto;les:auto
attawi (< *a d-tawi),zij zal hierheen brengen,she will bring here,,2.8,35,boek p. 29,id:p29-03;context:assimilations-with-t-and-t;hoofdstuk:auto;les:auto
tyennzen dinni,zij zingen daar,they sing there,,2.8,34,boek p. 30,id:p30-01;context:lack-of-spirantization-after-alveolar-nasals;hoofdstuk:auto;les:auto
a kisen tecc,zij zou met hen eten,she would eat with them,,2.8,34,boek p. 30,id:p30-02;context:lack-of-spirantization-after-alveolar-nasals;hoofdstuk:auto;les:auto
ijjen tmettut > izzentmettut,een vrouw,a woman,,2.8,34,boek p. 30,id:p30-03;context:lack-of-spirantization-after-alveolar-nasals;hoofdstuk:auto;les:auto
haha-s n thenjiat > baba-s n thenjiat,de vader van het meisje,the father of the girl,,2.8,34,boek p. 30,id:p30-04;context:lack-of-spirantization-after-alveolar-nasals;hoofdstuk:auto;les:auto
n necc d necc,ik ben het,it’s me,,2.8,35,boek p. 30,id:p30-05;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
a teffeɣ < ad tejfey,zij zal naar buiten gaan,she will go out,,2.8,35,boek p. 30,id:p30-06;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
a nejfeɣ < ad nejfey,wij zullen naar buiten gaan,we will go out,,2.8,35,boek p. 30,id:p30-07;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
yiwy-az-d ^yiwy-as-d,hij bracht naar hem hierheen,he brought to him over here,,2.8,35,boek p. 30,id:p30-08;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
degg ifri (< *di yifri),in de grot,in the cave,,2.8,35,boek p. 30,id:p30-09;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
zzegg duraa (< zzi iduraa),van de bergen,from the mountains,,2.8,35,boek p. 30,id:p30-10;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
deggwfunas (< *di ufunas),in de os,in the ox,,2.8,35,boek p. 30,id:p30-11;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
zeggwdraa (< *zi wedraa),van de berg,from the mountain,,2.8,35,boek p. 30,id:p30-12;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
igg ffɣen,dat naar buiten is gegaan,that has gone out,,2.8,35,boek p. 30,id:p30-13;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
wigg nnan,wie zei,who said,,2.8,35,boek p. 30,id:p30-14;context:other-consonant-assimilations;hoofdstuk:auto;les:auto
ṯaddaaṯ uzeǧid,het huis van de koning,the house of the king,,,14,boek p. 31,id:p31-01;context:irregular-variations-of-n-'of'-and-ijjen-'one'
ameddukeř ama,een vriend van mijn broer,a friend of my brother,,,14,boek p. 31,id:p31-02;context:irregular-variations-of-n-'of'-and-ijjen-'one'
ca imendi,wat gerst,some barley,,,14,boek p. 31,id:p31-03;context:irregular-variations-of-n-'of'-and-ijjen-'one'
ijj ujeǧid,een koning,a king,,,14,boek p. 31,id:p31-04;context:irregular-variations-of-n-'of'-and-ijjen-'one'
cwayt D weysum,een beetje vlees,a little bit of meat,,,14,boek p. 31,id:p31-05;context:irregular-variations-of-n-'of'-and-ijjen-'one'
m midden,van (andere) mensen,of (other) people,,,14,boek p. 31,id:p31-06;context:irregular-variations-of-n-'of'-and-ijjen-'one'
Fadma,van Fadma,of Fadma,,,14,boek p. 31,id:p31-07;context:irregular-variations-of-n-'of'-and-ijjen-'one'
p pulisiyya,van de politie,of the police,,,14,boek p. 31,id:p31-08;context:irregular-variations-of-n-'of'-and-ijjen-'one'
xači,van mijn tante (moederskant),of my maternal aunt,,,14,boek p. 31,id:p31-09;context:irregular-variations-of-n-'of'-and-ijjen-'one'
hḥenna,van mijn grootmoeder,of my grandmother,,,14,boek p. 31,id:p31-10;context:irregular-variations-of-n-'of'-and-ijjen-'one'
e ɛenti,van mijn tante (vaderskant),of my paternal aunt,,,14,boek p. 31,id:p31-11;context:irregular-variations-of-n-'of'-and-ijjen-'one'
I lalla,van mijn meesteres,of my mistress,,,14,boek p. 31,id:p31-12;context:irregular-variations-of-n-'of'-and-ijjen-'one'
n řeḇḥaa > n nebhaa,van de zee,of the sea,,,14,boek p. 31,id:p31-13;context:irregular-variations-of-n-'of'-and-ijjen-'one'
ijjen řeḇḥaa > ijjen nebhaa,een zee,a sea,,,14,boek p. 31,id:p31-14;context:irregular-variations-of-n-'of'-and-ijjen-'one'
aayaz-a d ayyaw nnes,deze man (FS) is zijn kleinzoon (FS),this man (FS) is his grandson (FS),,3.4,13,boek p. 35,id:p35-01;context:state;hoofdstuk:auto;les:auto
yessawar taspamut,hij spreekt Spaans (FS),he speaks Spanish (FS),,3.4,13,boek p. 35,id:p35-02;context:state;hoofdstuk:auto;les:auto
"aayaz-enni, yeqqim di ḇarra","die man (FS), hij bleef buiten","that man (FS), he remained outside",,3.4,13,boek p. 35,id:p35-03;context:state;hoofdstuk:auto;les:auto
yuzzer ar aqidun nnes,hij rende tot zijn tent (FS),he ran until his tent (FS),,3.4,13,boek p. 35,id:p35-04;context:state;hoofdstuk:auto;les:auto
tus-ed ḇřa aayaz nnes,zij kwam zonder haar man (FS),she came without her husband (FS),,3.4,13,boek p. 35,id:p35-05;context:state;hoofdstuk:auto;les:auto
yeqqim waayaz di ḇarra,de man (AS) bleef buiten,the man (AS) remained outside,,3.4,13,boek p. 36,id:p36-01;context:state;hoofdstuk:auto;les:auto
baba-s n waayaz,de vader van de man (AS),the father of the man (AS),,3.4,13,boek p. 36,id:p36-02;context:state;hoofdstuk:auto;les:auto
yeccur-it s waman,hij vulde het met water (AS),he filled it with water (AS),,3.4,13,boek p. 36,id:p36-03;context:state;hoofdstuk:auto;les:auto
"d asemmam, uɣi-ɣa","het is zuur, deze melk (AS)","it is sour, this milk (AS)",,3.4,13,boek p. 36,id:p36-04;context:state;hoofdstuk:auto;les:auto
s uɣi asemmam,met de karnemelk (lett. zure melk),with the buttermilk (lit. sour milk),,3.4,13,boek p. 36,id:p36-05;context:state;hoofdstuk:auto;les:auto
n waayaz ameqqṛan,van de grote (FS) man (AS),of the big (FS) man (AS),,3.4,13,boek p. 36,id:p36-06;context:state;hoofdstuk:auto;les:auto
ḥennas n Nacima,de (lett.: haar) grootmoeder van Naïma,the (lit.: her) grandmother of Naïma,,3.7,13,boek p. 46,id:p46-01;context:pre-nominal-elements;hoofdstuk:auto
ayyaw n Nacima,de kleinzoon van Naima,the grandson of Naima,,3.7,13,boek p. 46,id:p46-02;context:pre-nominal-elements;hoofdstuk:auto
n yayt-sɛid,van de Ayt Said,of the Ayt Said,,3.7,13,boek p. 47,id:p47-01;context:pre-nominal-elements;hoofdstuk:auto
qqim,ga zitten!,sit down!,,4.1,06,boek p. 48,id:p48-01;context:conjugation;hoofdstuk:auto;les:auto
qqimeɣ,ik zit,I sit,,4.1,06,boek p. 48,id:p48-02;context:conjugation;hoofdstuk:auto;les:auto
teqqimed,jij zit,you sit,,4.1,06,boek p. 48,id:p48-03;context:conjugation;hoofdstuk:auto;les:auto
yeqqim,hij zit,he sits,,4.1,06,boek p. 48,id:p48-04;context:conjugation;hoofdstuk:auto;les:auto
teqqim,zij zit,she sits,,4.1,06,boek p. 48,id:p48-05;context:conjugation;hoofdstuk:auto;les:auto
neqqim,wij zitten,we sit,,4.1,06,boek p. 48,id:p48-06;context:conjugation;hoofdstuk:auto;les:auto
teqqimem,jullie (mannen) zitten,you (men) sit,,4.1,06,boek p. 48,id:p48-07;context:conjugation;hoofdstuk:auto;les:auto
teqqiment,jullie (vrouwen) zitten,you (women) sit,,4.1,06,boek p. 48,id:p48-08;context:conjugation;hoofdstuk:auto;les:auto
qqimen,zij (mannen) zitten,they (men) sit,,4.1,06,boek p. 48,id:p48-09;context:conjugation;hoofdstuk:auto;les:auto
qqiment,zij (vrouwen) zitten,they (women) sit,,4.1,06,boek p. 48,id:p48-10;context:conjugation;hoofdstuk:auto;les:auto
neqqimet,laten we zitten,let’s sit,,4.1,06,boek p. 49,id:p49-01;context:conjugation;hoofdstuk:auto;les:auto
neqqiment,laten we zitten (vrouwen),let’s sit (women),,4.1,06,boek p. 49,id:p49-02;context:conjugation;hoofdstuk:auto;les:auto
yeqqimen,(die/dat) zit(ten),(that) sit(s),,4.1,06,boek p. 49,id:p49-03;context:conjugation;hoofdstuk:auto;les:auto
yudef,hij ging naar binnen,he went in,,4.1,06,boek p. 49,id:p49-04;context:conjugation;hoofdstuk:auto;les:auto
yaawer,hij vluchtte,he fled,,4.1,06,boek p. 49,id:p49-05;context:conjugation;hoofdstuk:auto;les:auto
isedzem,hij groette,he greeted,,4.1,06,boek p. 49,id:p49-06;context:conjugation;hoofdstuk:auto;les:auto
snef,rooster!,roast!,,4.1,06,boek p. 49,id:p49-07;context:conjugation;hoofdstuk:auto;les:auto
senfeɣ,ik roosterde,I roasted,,4.1,06,boek p. 49,id:p49-08;context:conjugation;hoofdstuk:auto;les:auto
yeɛfu,hij vergaf,he forgave,,4.1,06,boek p. 50,id:p50-01;context:conjugation;hoofdstuk:auto;les:auto
ɛfun,zij vergaven,they forgave,,4.1,06,boek p. 50,id:p50-02;context:conjugation;hoofdstuk:auto;les:auto
yeksi,hij nam,he took,,4.1,06,boek p. 50,id:p50-03;context:conjugation;hoofdstuk:auto;les:auto
ksin,zij namen,they took,,4.1,06,boek p. 50,id:p50-04;context:conjugation;hoofdstuk:auto;les:auto
yeswia aman,hij heeft water gedronken,he has drunk water,,,32,boek p. 52,id:p52-01;context:transitivity-and-valency
yeswa,hij heeft gedronken,he has drunk,,,32,boek p. 52,id:p52-02;context:transitivity-and-valency
yesra i wawar,hij hoorde de woorden (meewerkend voorwerp),he heard the words (indirect object),,,32,boek p. 52,id:p52-03;context:transitivity-and-valency
iɛemmaa aqbuc nnes,hij heeft zijn waterkruik gevuld,he has filled his water jar,,,32,boek p. 52,id:p52-04;context:transitivity-and-valency
iɛemmaa weqbuc nnes,zijn waterkruik is gevuld,his water jar is filled,,,32,boek p. 52,id:p52-05;context:transitivity-and-valency
ggenfa,genezen worden,to be cured,,4.2,32,boek p. 52,id:p52-06;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
sgenfa,genezen (iemand),to heal (somebody),,4.2,32,boek p. 52,id:p52-07;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
